id,name,color
ATL,Atlanta Hawks,#F5F5A9
BOS,Boston Celtics,#008040
BKN,Brooklyn Nets,#006BB6
CHA,Charlotte Hornets,#00B2BD
CHI,Chicago Bulls,#CE122E
CLE,Cleveland Cavaliers,#E06910
DAL,Dallas Mavericks,#005082
DEN,Denver Nuggets,#003399
DET,Detroit Pistons,#C8102E
GOS,Golden State Warriors,#F05722
GSW,Golden State Warriors,#F05722
HOU,Houston Rockets,#CE122E
IND,Indiana Pacers,#002D62
LAC,Los Angeles Clippers,#87CE00
LAL,Los Angeles Lakers,#5555FF
MEM,Memphis Grizzlies,#32CD32
MIA,Miami Heat,#0074BD
MIL,Milwaukee Bucks,#0047AB
MIN,Minnesota Timberwolves,#2980BE
NOP,New Orleans Pelicans,#002D62
NYK,New York Knicks,#F50000
OKC,Oklahoma City Thunder,#0072BD
ORL,Orlando Magic,#007DC7
PHI,Philadelphia 76ers,#006BB6
PHX,Phoenix Suns,#007A33
POR,Portland Trail Blazers,#003399
SAC,Sacramento Kings,#003399
SAS,San Antonio Spurs,#0047AB
TOR,Toronto Raptors,#CE122E
UTA,Utah Jazz,#00274C
WAS,Washington Wizards,#E06910
AND,Anderson Packers,#F50000
BLT,Baltimore Bullets,#007A33
CHS,Chicago Stags,#007DC7
CLR,Cleveland Rebels,#006BB6
DNN,Denver Nuggets,#003399
DTF,Detroit Falcons,#F50000
INJ,Indianapolis Jets,#002D62
INO,Indianapolis Olympians,#0047AB
KEN,Kentucky Colonels,#002D62
MMS,Memphis Sounds,#002D62
PTC,Pittsburgh Condors,#0047AB
PIT,Pittsburgh Ironmen,#F50000
PRO,Providence Steam Rollers,#006BB6
SDS,San Diego Sails,#0074BD
SHE,Sheboygan Red Skins,#007DC7
SSL,Spirits of St. Louis,#0047AB
STB,St. Louis Bombers,#006BB6
FLO,The Floridians,#007A33
TRH,Toronto Huskies,#0047AB
UTS,Utah Stars,#E06910
VIR,Virginia Squires,#0074BD
WSC,Washington Capitols,#F50000
WAT,Waterloo Hawks,#003399
